ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
copt1239,Coptic (BJ),,,,copt1239,cop,cop
plai1258,Cree (Plains) (BJ),,,,plai1258,crk,cre
dagb1246,Dagbani (BJ),,,,dagb1246,dag,dgb
daha1245,Dahalo (BJ),,,,daha1245,dal,dah
daas1238,Dhaasanac (BJ),,,,daas1238,dsh,dha
baya1257,Dharumbal (BJ),,,,baya1257,bjy,dhb
dhiv1236,Dhivehi (BJ),,,,dhiv1236,div,dhi
dyaa1242,Djabugay (BJ),,,,dyaa1242,dyy,dja
jaru1254,Djaru (BJ),,,,jaru1254,ddj,djr
bang1363,Dogon (BJ),,,,bang1363,dba,dog
doya1240,Doyayo (BJ),,,,doya1240,dow,doy
dehu1237,Drehu (BJ),,,,dehu1237,dhv,dre
dual1243,Duala (BJ),,,,dual1243,dua,dua
gaww1239,Dullay (Gollango) (BJ),,,,gaww1239,gwd,dug
efik1245,Efik (BJ),,,,efik1245,efi,efi
epen1239,Epena Pedee (BJ),,,,epen1239,sja,epe
siee1239,Erromangan (BJ),,,,siee1239,erg,err
ewon1239,Ewondo (BJ),,,,ewon1239,ewo,ewo
fiji1243,Fijian (BJ),,,,fiji1243,fij,fij
stan1290,French (BJ),,,,stan1290,fra,fre
fyam1238,Fyem (BJ),,,,fyam1238,pym,fye
gamo1244,Gamo (BJ),,,,gamo1244,gmo,gam
gapa1238,Gapapaiwa (BJ),,,,gapa1238,pwg,gap
gola1255,Gola (BJ),,,,gola1255,gol,gol
goon1238,Gooniyandi (BJ),,,,goon1238,gni,goo
barc1235,Grebo (BJ),,,,barc1235,gry,grb
para1311,Guaraní (BJ),,,,para1311,gug,gua
gudu1252,Guduf (BJ),,,,gudu1252,gdf,gdf
kumb1268,Gumbaynggir (BJ),,,,kumb1268,kgs,gum
gura1252,Gurr-goni (BJ),,,,gura1252,gge,grg
gugu1255,Guugu Yimidhirr (BJ),,,,gugu1255,kky,guu
haidabj,Haida (BJ),,,,,,hai
hata1243,Hatam (BJ),,,,hata1243,had,hat
haus1257,Hausa (BJ),,,,haus1257,hau,hau
wayu1241,Hayu (BJ),,,,wayu1241,vay,hay
hdii1240,Hdi (BJ),,,,hdii1240,xed,hdi
hebr1245,Hebrew (Modern) (BJ),,,,hebr1245,heb,heb
hind1269,Hindi (BJ),,,,hind1269,hin,hin
hmar1241,Hmar (BJ),,,,hmar1241,hmr,hma
hmon1338,Hmong Njua (BJ),,,,hmon1338,blu,hmo
hoav1238,Hoava (BJ),,,,hoav1238,hoa,hoa
hunz1247,Hunzib (BJ),,,,hunz1247,huz,hzb
nucl1417,Igbo (BJ),,,,nucl1417,ibo,igb
