Language_ID,Language_name,Glottocode
2731,Lak,lakk1252
2732,Lamang,lama1288
2733,Latvian,latv1249
2734,Lepcha,lepc1244
2735,Lezgian,lezg1247
2736,Lillooet,lill1248
2737,Limilngan,nucl1327
2738,Lingala,ling1263
2739,Lisu,lisu1250
2740,Longgu,long1395
2741,Loniu,loni1238
2742,Lunda,lund1266
2743,Ma'di,madi1260
2744,Maale,male1284
2745,Macushi,macu1259
2746,Madurese,nucl1460
2747,Maipure,maip1247
2748,Maithili,mait1250
2749,Makah,maka1318
2750,Mam,mamc1234
2751,Mangarrayi,mang1381
2752,Mangghuer,tuuu1240
2753,Maori,maor1246
2754,Maranungku,mara1386
2755,Marathi,mara1378
2756,Maricopa,mari1440
2757,Marquesan,nort2845
2758,Matis,mati1255
2759,Matsés,mats1244
2760,Maybrat,maib1239
2761,Mbabaram,mbab1239
2762,Mbay,mbay1241
2763,Mbili,bamb1266
2764,Mende,mend1266
2765,Mixtec (Chalcatongo),sanm1295
2766,Miya,miya1266
2767,Mocoví,moco1246
2768,Mono (in United States),mono1275
2769,Monumbo,nucl1458
2770,Mosetén,mose1249
2771,Motuna,siwa1245
2772,Mundang,mund1325
2773,Mundari,mund1320
2774,Mupun,mwag1236
2775,Murle,murl1244
2776,Musgu,musg1254
2777,Mussau,muss1246
2778,Nabak,naba1256
2779,Nagatman,yale1246
2780,Nahuatl (Tetelcingo),tete1251
2781,Nambikuára,sout2994
2782,Navajo,nava1243
2783,Ndebele (in South Africa),sout2808
2784,Ndjébbana,djee1236
2785,Nepali,nepa1252
2786,Ngalakan,ngal1293
2787,Ngiyambaa,wang1291
2788,Nhanda,nhan1238
2789,Nias,nias1242
2790,Nisgha,nisg1240
2791,Niuean,niue1239
2792,Nivkh,gily1242
2793,Nkore-Kiga,chig1238
2794,Nuaulu,sout2895
2795,Nubian (Dongolese),kenu1236
2796,Nubian (Kunuz),kenu1236
2797,Nuuchahnulth,noot1239
2798,O'odham,toho1245
2799,Obolo,obol1243
2800,Oromo (Harar),east2652
2801,Orya,orya1242
2802,Otomí (Mezquital),mezq1235
2803,Paamese,paam1238
2804,Páez,paez1247
2805,Paita,dumb1241
2806,Paiwan,paiw1248
2807,Palauan,pala1344
2808,Panyjima,pany1241
2809,Passamaquoddy-Maliseet,male1292
2810,Pattani,patt1248
2811,Pero,pero1241
2812,Pilagá,pila1245
2813,Pirahã,pira1253
2814,Pitjantjatjara,pitj1243
2815,Pitta Pitta,pitt1247
2816,Purépecha,pure1242
2817,Qafar,afar1241
2818,Quechua (Huallaga),huam1248
2819,Rama,rama1270
2820,Rapanui,rapa1244
2821,Rawang,rawa1265
2822,Retuarã,tani1257
2823,Ron,ronn1241
2824,Saami (Northern),nort2671
2825,Salt-Yui,salt1242
2826,Sango,sang1328
2827,Sangu,sang1333
2828,Sanuma,sanu1240
2829,Sapuan,sapu1248
2830,Sedang,seda1262
2831,Selkup,selk1253
2832,Shoshone,shos1248
2833,Sinaugoro,sina1266
2834,Slave,slav1253
2835,So,sooo1256
2836,Somali,soma1255
2837,Sotho (Northern),pedi1238
2838,Spanish,stan1288
2839,Sudest,sude1239
2840,Suena,suen1241
2841,Sundanese,sund1252
2842,Taba,east2440
2843,Tagalog,taga1270
2844,Tamang,east2347
2845,Tarao,tara1313
2846,Tauya,tauy1241
2847,Tepehuan (Northern),nort2959
2848,Tepehuan (Southeastern),sout2976
2849,Teribe,teri1250
2850,Ternate,tern1247
2851,Tetun,tetu1245
2852,Tibetan (Standard Spoken),tibe1272
2853,Tidore,tido1248
2854,Tigrinya,tigr1271
2855,Tikar,tika1246
2856,Tinrin,tiri1258
2857,Tiwi,tiwi1244
2858,Tobati,toba1266
2859,Toratán,rata1244
2860,Torwali,torw1241
2861,Trumai,trum1247
2862,Tsat,tsat1238
2863,Tsez,dido1241
2864,Tshangla,tsha1245
2865,Tsimshian (Coast),nucl1649
2866,Tugun,tugu1245
2867,Tunen,tune1241
2868,Turkana,turk1308
2869,Turkish,nucl1301
2870,Tzutujil,tzut1248
2871,Udmurt,udmu1245
2872,Upper Kuskokwim,uppe1438
2873,Urubu-Kaapor,urub1250
2874,Usan,usan1239
2875,Vietnamese,viet1252
2876,Walmatjari,walm1241
2877,Wambaya,wamb1258
2878,Warao,wara1303
2879,Waray (in Australia),wara1290
2880,Wardaman,ward1246
2881,Warembori,ware1253
2882,Warrgamay,warr1255
2883,Wirangu,wira1260
2884,/Xam,xamm1241
2885,Yagua,yagu1244
2886,Yanyuwa,yany1243
2887,Yawelmani,yoku1256
2888,Yawuru,yawu1244
2889,Yidiny,yidi1250
2890,Yimas,yima1243
2891,Yingkarta,ying1247
2892,Yir Yiront,yiry1245
2893,Yukaghir (Tundra),nort2745
2894,Central Alaskan Yupik,cent2127
2895,Zapotec (Quiegolani),sant1451
2896,Zayse,zays1235
2897,Zazaki,diml1238
2898,Zoque (Chimalapa),chim1300
2900,Chinese (Kunming),kunm1234
2901,Cinsenga,nsen1242
2902,Dargwa,darg1241
2904,Gikuyu,kiku1240
5388536538,Central Arctic Inuktitut,west2618
16152612577,Sri Lanka Malay,sril1245
