Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
,"Göbbel, Edward",book,Syntactic and Focus-structural Aspects of Triadic Constructions.,,Frankfurt am Main,,"Göbbel, Edward. 2003. Syntactic and Focus-structural Aspects of Triadic Constructions. Frankfurt am Main: Peter Lang.",,,,,Peter Lang,304,,,,2003,
The inherent semantics of argument structure: the case of the English ditransitive construction,"Goldberg, Adele Eva",,,,,,"Goldberg, Adele Eva. 1992. The inherent semantics of argument structure: the case of the English ditransitive construction. Cognitive Linguistics 3 (1). 37-74.",1,Cognitive Linguistics,,37-74,,305,,,3,1992,
,"Hagedorn, Sebastian",,Zur Wortstellung in deutschen Sätzen mit zwei Objekten. Magisterarbeit,,,,"Hagedorn, Sebastian. 2000. Zur Wortstellung in deutschen Sätzen mit zwei Objekten. Magisterarbeit, Universität Köln.",,,,,,306,Universität Köln,http://www.spinfo.uni-koeln.de/~hgd/Magisterarbeit.pdf,,2000,
So called double objects and grammatical relations,"Hudson, Richard A.",,,,,,"Hudson, Richard. 1992. So called double objects and grammatical relations. Language, 68(2). 251-276.",2,Language,,251-276,,307,,,68,1992,
Noun phrase accessibility and universal grammar,"Keenan, Edward Louis & Bernard Comrie",,,,,,"Keenan, Edward Louis & Bernard Comrie. 1977. Noun phrase accessibility and universal grammar. Linguistic Inquiry, 8: 63-99.",,Linguistic Inquiry,,63-99,,308,,,8,1977,
"Two word order patterns in the history of English: stability, variation and change","Koopman, Willem & Wim van der Wurff",,"Stability, Variation and Change of Word-order Patterns over Time",,Amsterdam,"Sornicola, Rosanna & Erich Poppe & Ariel Shisha-Halevy","Koopman, Willem & Wim van der Wurff. 2000. Two word order patterns in the history of English: stability, variation and change. in: Sornicola, Rosanna & Erich Poppe & Ariel Shisha-Halevy (eds.). Stability, Variation and Change of Word-order Patterns over Time. Amsterdam: John Benjamins.",,,,,John Benjamins,309,,,,2000,
,"Mukherjee, Joybrato",,"English Ditransitive Verbs: Aspects of Theory, Description and a Usage-based Mode",,Bonn,,"Mukherjee, Joybrato. 2003. English Ditransitive Verbs: Aspects of Theory, Description and a Usage-based Model. Bonn. [Unpublished Manuscript.]",,,,,,310,,,,2003,
Objets trouvés,"Plank, Frans",,,,,,"Plank, Frans. 1990. Objets trouvés. Zeitschrift für Phonetik, Sprachwissenschaft und Kommunikationsforschung, 43 (1): 59-85.",1,"Zeitschrift für Phonetik, Sprachwissenschaft und Kommunikationsforschung",,59-85,,311,,,43,1990,
A non-syntactic account of some asymmetries in the double object construction,"Polinsky, Maria",incollection,Conceptual Structure and Language: Bridging the Gap,,Stanford,"Koenig, Jean-Pierre","Polinsky, Maria. 1998. A non-syntactic account of some asymmetries in the double object construction. in: Koenig, Jean-Pierre (ed.). Conceptual Structure and Language: Bridging the Gap. Stanford: CSLI. pp. 403-423.",,,ch001polinsky1998,403-423,CSLI,312,,,,1998,
The relative order of recipient and patient in the languages of Europe,"Primus, Beatrice",incollection,Constituent Order in the Languages of Europe,,Berlin,"Siewierska, Anna","Primus, Beatrice. 1997. The relative order of recipient and patient in the languages of Europe. in: Siewierska, Anna (ed.). Constituent order in the languages of Europe. Berlin: Mouton de Gruyter.",,,ch001primus1997,421-473,Mouton de Gruyter,313,,,,1997,
Direct/indirect object word order: a cross-linguistic analysis,"Sedlak, Philip A. S.",incollection,"Working Papers on Language Universals, 18",,Stanford,,"Sedlak, Philip A. S. 1975. Direct/indirect object word order: a cross-linguistic analysis. Working Papers on Language Universals, 18. Stanford: Stanford University. pp. 117-164.",,,ch001sedlak1975,117-164,Stanford University,314,,,,1975,
Relational grammar and promotion rules in Japanese,"Shimizu, Midori",,"Papers from the Regional Meetings, 11",,Chicago,,"Shimizu, Midori. 1975. Relational grammar and promotion rules in Japanese.
in: Papers from the Regional Meetings, Chicago Linguistic Society 11. Chicago: Chicago Linguistic Society. pp. 529-535.",,,,529-535,Chicago Linguistic Society,315,,,,1975,
"Linker inventories, linking splits and lexical economy","Stiebels, Barbara",,Lexicon in Focus,,Berlin,"Stiebels, Barbara & Dieter Wunderlich","Stiebels, Barbara. 2000. Linker inventories, linking splits and lexical economy.
in: Stiebels, Barbara & Dieter Wunderlich (eds.). Lexicon in Focus. Berlin: Akademie Verlag. pp. 211-245.",,,,211-245,Akademie Verlag,316,,,,2000,
Information Flow and 'Dative Shift' in English,"Thompson, Sandra A.",,Development and Diversity: Linguistic Variation across Time and Space,,Dallas,"Edmondson, Jerrold & Katherine Feagin & Peter Mühlhäusler","Thompson, Sandra A. 1990. Information Flow and 'Dative Shift' in English.
in: Edmondson, Jerrold & Katherine Feagin & Peter Mühlhäusler (eds.). Development and Diversity: Linguistic Variation across Time and Space. Dallas: Summer Institute of Linguistics. pp. 239-253.",,,,239-253,Summer Institute of Linguistics,317,,,,1990,
The iconicity of 'dative shift' in English. Considerations from Information Flow in Discourse,"Thompson, Sandra A.",,Syntactic Iconicity and Linguistic Freezes: the Human Dimension,,Berlin,"Landsberg, Marge E.","Thompson, Sandra A. 1995. The iconicity of 'dative shift' in English. Considerations from Information Flow in Discourse. in: Landsberg, Marge E. (ed). Syntactic Iconicity and Linguistic Freezes: the Human Dimension. Berlin: Mouton de Gruyter. pp. 155-175.",,,,155-175,Mouton de Gruyter,318,,,,1995,
"Subject, object, and indirect object: towards a typology of Papuan languages","Whitehead, Carl Robert",,Language and Linguistics in Melanesia,,,,"Whitehead, Carl Robert. 1981. Subject, object, and indirect object: towards a typology of Papuan languages. Language and Linguistics in Melanesia, 13 (1-2): 32-63.",12,Language and Linguistics in Melanesia,,32-63,,319,,,13,1981,
Object Shift and Double Objects in Danish,"Vikner, Sten",,"Working Papers in Scandinavian Syntax. Special Issue on Comparative Germanic Syntax, 44. Special Issue on Comparative Germanic Syntax",,Lund,"Delsing, Lars Olof & Cecilia Falk & Christer Platzack","Vikner, Sten. 1989. Object Shift and Double Objects in Danish. in: Delsing, Lars Olof & Cecilia Falk & Christer Platzack (eds.). Working Papers in Scandinavian Syntax, 44. Special Issue on Comparative Germanic Syntax. Lund. pp. 141-155.",,,,141-155,,320,,,44,1989,
The fourth person in Teop,"Mosel, Ulrike",,,,,,"Mosel, Ulrike. 2006. The fourth person in Teop. Ms.",,,,,,321,,,,2006,a
,"Lüpke, Friederike",phdthesis,A grammar of Jalonke argument structure,,Nijmegen,,"Lüpke, Friederike. 2005. A grammar of Jalonke argument structure. Nijmegen: University of Nijmegen / MPI. [Ph.D.]",,,ch01luepke2005,,University of Nijmegen,322,,,,2005,
Ditransitivity in Teop,"Mosel, Ulrike",,,,,,"Mosel, Ulrike. 2006b. Ditransitivity in Teop. Handout.",,,,,,323,,,,2006,b
Analogical leveling across constructions: incorporated prepositions in Teop,"Mosel, Ulrike",,,,,,"Mosel, Ulrike. 2006c. Analogical leveling across constructions: incorporated prepositions in Teop. Ms.",,,,,,324,,,,2006,
,"Fortescue, Michael D.",book,West Greenlandic,,London,,"Fortescue, Michael D. 1984. West Greenlandic. London. Croom Helm.",,,ch001fortescue1984,,Croom Helm,325,,,,1984,
,"Wali, Kashi & Omkar N. Koul",,"Kashmiri, a Cognitive-Descriptive Grammar",,London,,"Wali, Kashi & Omkar N. Koul. 1997. Kashmiri, a Cognitive-Descriptive Grammar. London. Routledge.",,,,,Routledge,326,,,,1997,
,"Nikolaeva, Irina",book,Ostyak,,Munich,,"Nikolaeva, Irina. 1999. Ostyak. Munich. Lincom.",,,ch001nikolaeva1999,,Lincom,327,,,,1999,
,"Bruce, Leslie P.",book,The Alamblak Language of Papua New Guinea (East Sepik),,Canberra,,"Bruce, Leslie P. 1984. The Alamblak Language of Papua New Guinea (East Sepik). Canberra. Australian National University.",,,ch001bruce1984,,Australian National University,328,,,,1984,
,"Kimball, Geoffrey D.",book,Koasati Grammar,,Lincoln,,"Kimball, Geoffrey D. 1991. Koasati Grammar. Studies in the Anthropology of North American Indians. Lincoln. University of Nebraska Press.",,,ch01kimball1991,,University of Nebraska Press,329,,,,1991,
,"Haude, Katharina",phdthesis,A Grammar of Movima,,Nijmegen,,"Haude, Katharina. 2006. A Grammar of Movima. Nijmegen. Universiteit Nijmegen.",,,,,Universiteit Nijmegen,330,,,,2006,
,"François, Alexandre",,Araki. a disappearing language of Vanuatu,,Canberra,,"François, Alexandre. 2002. Araki. a disappearing language of Vanuatu. Canberra. Australian National University.",,,,,Australian National University,331,,,,2002,
,"Dixon, Robert M. W.",book,The Dyirbal Language of North Queensland,,Cambridge,,"Dixon, Robert M. W. 1972. The Dyirbal Language of North Queensland. Cambridge. Cambridge University Press.",,,ch001dixon1972,,Cambridge University Press,332,,,,1972,
Are there ditransitive verbs in !Xun?,"König, Christa & Bernd Heine",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,74 - 114,Mouton de Gruyter,333,,,,2010,
,"Margetts, Anna",book,"Valence and Transitivity in Saliba, an Oceanic Language of Papua New Guinea",,Nijmegen,,"Margetts, Anna. 1999. Valence and Transitivity in Saliba, an Oceanic Language of Papua New Guinea.",,,ch001margetts1999,,Max-Planck-Institute for Psycholinguistics,334,,,,1999,
,"Donohue, Mark",book,A Grammar of Tukang Besi,,Berlin,,"Donohue, Mark. 1999. A Grammar of Tukang Besi. Berlin. Mouton de Gruyter.",,,ch001donohue1999,,Mouton de Gruyter,335,,,,1999,
Case and Double Objects in Icelandic,"Jónsson, Jóhannes Gísli",,Leeds Working Papers in Linguistics,,,"Nelson, Diane & Paul Foulkes","Jónsson, Jóhannes Gísli. 2000. Case and Double Objects in Icelandic. in: Nelson, Diane & Paul Foulkes (eds.). Leeds Working Papers in Linguistics, 8: 71-94.",,,,71-94,,336,,,8,2000,
,"Frank, Paul Stephen",phdthesis,"A Grammar of Ika (Chibchan, Colombia)",,,,"Frank, Paul Stephen. 1985. A Grammar of Ika (Chibchan, Colombia). Dissertation. University of Pennsylvania.",,,,,,337,University of Pennsylvania,,,1985,
,"Hagman, Roy S.",,Nama Hottentot Grammar,,Bloomington,,"Hagman, Roy S. 1977. Nama Hottentot Grammar. Bloomington: Indiana University. Research Center for Language and Semiotic Studies.",,,,,"Research Center for Language and Semiotic Studies, Indiana University",338,,,,1977,
,"Sohn, Ho-Min",,Korean,,London,,"Sohn, Ho-Min. 1994. Korean. London. Routledge.",,,,,Routledge,339,,,,1994,
,"Curnow, Timothy Jowan",phdthesis,"A Grammar of Awa Pit (Cuaiquer), an indigenous language of south-western Colombia",,Canberra,,"Curnow, Timothy Jowan. 1997. A Grammar of Awa Pit (Cuaiquer), an indigenous language of south-western Colombia. Australian National University. [Dissertation.]",,,,,Australian National University,340,,,,1997,
,"O'Grady, William Delaney",,Categories and Case: The Sentence Structure of Korean,,Amsterdam,,"O’Grady, William Delaney. 1991. Categories and Case: The Sentence Structure of Korean. Amsterdam: John Benjamins.",,,,,John Benjamins,342,,,,1991,
Causee and Patient in the Causative of Transitive: Coding Conflict or Doubling of Grammatical Relations?,"Kozinsky, Isaac & Maria Polinsky",,Causatives and Transitivity,,Amsterdam,"Comrie, Bernard & Maria Polinsky","Kozinsky, Isaac & Polinsky, Maria. 1993. Causee and Patient in the Causative of Transitive: Coding Conflict or Doubling of Grammatical Relations? in: Comrie, Bernard & Maria Polinsky (eds.). 1993. Causatives and Transitivity. Amsterdam: John Benjamins. pp. 177-240.",,,,177-240,John Benjamins,343,,,,1993,
Korean Psych Constructions: Advancement or Retreat?,"Gerdts, Donna B. & Cheong Youn",incollection,Papers from the Twenty-Fourth Annual Regional Meeting of the Chicago Linguistic Society. Part One: The General Session,,Chicago,"MacLeod, Lynn & Gary Larson & Diane Brantari",,,,,155-175,Chicago Linguistic Society,344,,,,1988,
,"Kruspe, Nicole",,A Grammar of Semelai,,Cambridge,,"Kruspe, Nicole. 2004. A Grammar of Semelai. Cambridge. Cambridge University Press.",,,,,Cambridge University Press,345,,,,2004,
The rise of the to-dative in Middle English,"McFadden, Thomas",book,Syntactic effects of morphological change,,Oxford,"Lightfoot, David","McFadden, Thomas. 2002. The rise of the to-dative in Middle English. in: Lightfoot, David (ed.). Syntactic effects of morphological change. Oxford. Oxford University Press. pp. 107-123.",,,,107-123,Oxford University Press,346,,,,2002,
The double object construction and the extraction of the indirect object,"Oba, Yukio",,,,,,"Oba, Yukio. 2002. The double object construction and the extraction of the indirect object. Linguistic Analysis, 32 (1-2): 40-71.",12,Linguistic Analysis,,40-71,,347,,,32,2002,
Die Doppelobjektkonstruktion im Deutschen,"Sabel, Joachim",,,,,,"Sabel, Joachim. 2002. Die Doppelobjektkonstruktion im Deutschen. Linguistische Berichte, 190. 229-243.",,Linguistische Berichte,,229-243,,348,,,190,2002,
,"Saltarelli, Mario",,Basque,,New York,,"Saltarelli, Mario. 1988. Basque. New York. Croom Helm.",,,,,Croom Helm,349,,,,1988,
,"Burling, Robbins",,The Language of the Modhupur Mandi (Garo). Vol. 1: Grammar,,New Delhi / Morganville,,"Burling, Robbins. 2004. The Language of the Modhupur Mandi (Garo). Vol. 1: Grammar. New Delhi / Morganville: Bibliophile South Asia / Promilla & Co.",,,,,Bibliophile South Asia / Promilla & Co.,350,,,,2004,
Gradient Grammar: an Effect of Animacy on the Syntax of give in New Zealand and American English,"Bresnan, Joan & Jennifer Hay",,,,,,"Bresnan, Joan & Jennifer, Hay. 2007. Gradient Grammar: An Effect of Animacy on the Syntax of give in New Zealand and American English. Lingua, 118(2). 245-259.",2,Lingua,,245-259,,351,,,118,2008,
,"Hualde, José Ignacio & Jon Ortiz de Urbina",,A Grammar of Basque,,Berlin,,"Hualde, José Ignacio & Ortiz de Urbina, Jon. 2003. A Grammar of Basque. Berlin. Mouton de Gruyter.",,,,,Mouton de Gruyter,352,,,,2003,
,"Austin, Peter K.",,"A Grammar of Diyari, South Australia",,Cambridge,,"Austin, Peter. 1981. A Grammar of Diyari, South Australia. Cambridge. Cambridge University Press.",,,,,Cambridge University Press,353,,,,1981,
,"Pensalfini, Robert J.",,"A Grammar of Jingulu, an Aboriginal language of the Northern Territory",,Canberra,,"Pensalfini, Robert  J. 2003. A Grammar of Jingulu, an Aboriginal language of the Northern Territory. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University.",,,,,Pacific Linguistics,354,,,,2003,
,"Mounole Hiriart-Urruty, Celine & Manterola Agirre, Julen",,,,,,"Celine Mounole Hiriart-Urruty & Julen Manterola Agirre, p.c.",,,,,,355,,,,,
,"Georg, Stefan & Alexander P. Volodin",book,Die itelmenische Sprache. Grammatik und Texte,,Wiesbaden,,"Georg, Stefan & Volodin, Alexander P. 1999. Die itelmenische Sprache. Grammatik und Texte. Tunguso-Sibirica, 5. Wiesbaden. Harrassowitz.",,,ch001georgvolodin1999,,Harrassowitz,356,,,,1999,
,"Matthews, Stephen & Virginia Yip",,Cantonese: A Comprehensive Grammar,,London,,"Matthews, Stephen & Virginia Yip. 1994. Cantonese: A Comprehensive Grammar. London. Routledge.",,,,,Routledge,357,,,,1994,
Three-participant events in the languages of the world: towards a cross-linguistic typology,"Margetts, Anna & Peter K. Austin",article,,,,,"Margetts, Anna & Peter K. Austin. 2007. Three-participant events in the languages of the world: towards a cross-linguistic typology. Linguistics, 45(3). 393-451.",3,Linguistics,ch01margettsaustin2007,393-451,,358,,,45,2007,
Differential case marking of arguments in Amharic,"Amberber, Mengistu",incollection,Handbook of Case,,Oxford,"Malchukov, Andrej & Andrew Spencer","Amberber, Mengistu. 2008. Differential case marking of arguments in Amharic. To appear in: Malchukov, Andrej & Spencer A. (eds.). Handbook of Case. Oxford: Oxford University Press.",,,ch001amberber2009,742-756,Oxford University Press,359,,,,2008,
,"Amberber, Mengistu",,Verb Classes and Transitivity in Amharic,,Munich,,,,,,,Lincom Europa,360,,,,2002,
,"Oh, Eunjeong & María Luisa Zubizarreta",,Comparison of the English and Korean Double Object,,Cambridge,,"Oh, Eunjeong & María Luisa Zubizarreta. 2007. Comparison of the English and Korean Double Object. Cambridge: MIT Press.",,,,,MIT Press,361,,,,2007,
,"Rhodes, Richard Alan",book,"Clause Structure, Core Arguments, and the Algonquian Relative Root Construction",,Winnipeg,,"Rhodes, Richard Alan. 2006. Clause Structure, Core Arguments, and the Algonquian Relative Root Construction. Winnipeg: Voices of Rupert's Land.",,,ch21rhodes2005,,Voices of Rupert's Land,362,,,,2006,
Ditransitive alignment splits and inverse alignment,"Haspelmath, Martin",article,,,,,"Haspelmath, Martin. 2007. Ditransitive alignment splits and inverse alignment. Functions of Language. 14(1). 79-102.",1,Functions of Language,ch24haspelmath2007,79-102,,363,,,14,2007,
Double-Object Constructions in the Creole Languages: Development and Acquisition,"Bruyn, Adrienne & Pieter Muysken & Maaike Verrips",,"Language Creation and Language Change: Creolization, Diachrony, and Development",,Cambridge,"DeGraff, Michel","Bruyn, Adrienne & Pieter Muysken & Maaike Verrips. 1991. Double-Object Constructions in the Creole Languages: Development and Acquisition. in: de Graff, Michel (ed.). Language Creation and Language Change: Creolization, Diachrony, and Development. Cambridge. MIT Press. pp. 329-373.",,,,329-373,MIT Press,364,,,,1999,
A note on the Process of Lexical Diffusion in the Development of Creoles: The Case of Double-Object Verbs,"Lefebvre, Claire",,,,,,"Lefebvre, Claire. 2006. A note on the Process of Lexical Diffusion in the Development of Creoles: The Case of Double-Object Verbs.",,,,,,365,,,,2006,
,"Gerdts, Donna B.",phdthesis,Object and Absolutive in Halkomelem Salish,,San Diego,,"Gerdts, Donna B. 1982. Object and absolutive in Halkomelem Salish. University of California.",,,ch001gerdts1982,,University of California,366,University of California,,,1982,
,"Poulos, George",,,,,,"Poulos, George. 1982. Issues in Zulu relativization. Grahamstown: Dept. of African Languages, Rhodes University.",,,,,,367,,,,1982,
,"Neukom, Lukas & Manideepa Patnaik",,A Grammar of Oriya,,Zürich,,"Neukom, Lukas & Patnaik, Manideepa. A Grammar of Oriya. Zürich. Seminar für Allgemeine Sprachwissenschaft der Universität Zürich.",,,,,ASAS,368,,,,2003,
Sochiapan Chinantec GIVE: A window into clause structure,"Foris, David Paul",incollection,The Linguistics of Giving,,Amsterdam,"Newman, John","Foris, David. 1998. Sochiapan Chinantec GIVE: A window into clause structure. in: Newman, John (ed.). The Linguistics of Giving. Amsterdam: John Benjamins. pp. 209-248.",,,ch01foris1998,209-248,John Benjamins,369,,,,1998,
,"Essegbey, James",,Inherent complement verbs revisited: towards an understanding of argument structure in Ewe,,Nijmegen,,"Essegbey, James. 1999. Inherent complement verbs revisited: towards an understanding of argument structure in Ewe. Nijmegen, Netherlands. MPI.",,,,,MPI,370,,,,1999,
,"Patnaik, Manideepa",,,,,,"Manideepa Patnaik, p.c.",,,,,,371,,,,,
Double Object Constructions in Zulu,"Taylor, John R.",incollection,The Linguistics of Giving,,Amsterdam,"Newman, John","Taylor, John R. 1997/1998. Double object constructions in Zulu. in: Newman, John (ed.). The Linguistics of Giving. Amsterdam: John Benjamins. pp. 67-96.",,,ch01taylor1997,67-96,John Benjamins,372,,,,1997,
"Possessors, Goals and the Classification of Ditransitive Predicates: Evidence from Hebrew","Francez, Itamar",,"Empirical Issues in Syntax and Semantics, 6",,,"Bonami, Olivier & Patricia Cabredo Hofherr","Francez, Itamar. 2006. Possessors, Goals and the Classification of Ditransitive Predicates: Evidence from Hebrew. in: Bonami, O. & Cabredo Hofherr, P. (eds.). Empirical Issues in Syntax and Semantics 6. pp. 137-154.",,,,137-154,CSSP,374,,,,2006,
The bipartite structure of verbs cross-linguistically (or: Why Mary can't exhibit John her paintings),"Harley, Heidi",,,,"Belo Horizonte, Brazil",,"Harley, Heidi. 2007. The bipartite structure of verbs cross-linguistically (or: Why Mary can't exhibit John her paintings).",,,,1-34,ABRALIN,375,,,,2007,
,"Levin, Beth",,Dative Verbs: A Crosslinguistic Perspective,,Stanford,,"Levin, Beth. 2007. Dative Verbs: A Crosslinguistic Perspective. Stanford. Stanford University. [unpublished ms.]",,,,,Stanford University,376,,,,2007,
Double Objects Again,"Beck, Sigrid & Kyle Johnson",,,,,,"Beck, Sigrid & Kyle Johnson. 2004. Double Objects Again. Linguistic Inquiry, 35 (1): 97-124.",1,Linguistic Inquiry,,97-124,,377,,,35,2004,
Mapping Halkomelem Grammatical Relations,"Gerdts, Donna B.",article,,,,,"Gerdts, Donna B. 1993. Mapping Halkomelem Grammatical Relations. Linguistics, 31: 591-621.",,Linguistics,ch19Gerdts1993,591-621,,378,,,31,1993,
Manner in Dative Alternation,"Krifka, Manfred",,"West Coast Conference on Formal Linguistics, 18",,Somerville,,"Krifka, Manfred. 1999. Manner in Dative Alternation. West Coast Conference on Formal Linguistics, 18. Somerville: Cascadilla Press. pp. 260-271.",,,,260-271,Cascadilla Press,379,,,,1999,
Semantic and Pragmatic Conditions for the Dative Alternation,"Krifka, Manfred",,,,,,"Krifka, Manfred. 2004. Semantic and Pragmatic Conditions for the Dative Alternation. Korean Journal of English Language and Linguistics, 4: 1-32.",,Korean Journal of English Language and Linguistics,,1-32,,380,,,4,2004,
‘To’ in Two Places in the Dative Alternation.,"Levinson, Lisa",misc,Proceedings of the 28th Annual Penn Linguistics Colloquium,,,,"Levinson, Lisa. 2005. ‘To’ in Two Places in the Dative Alternation. in: Proceedings of the 28th Annual Penn Linguistics Colloquium. University of Pennsylvania Working Papers in Linguistics, 11 (1): pp. 155-168.",1,,,155-168,,381,,,11,2005,
"Dative: The Heterogeneity of the Mapping Among Morphological Case, Grammatical Functions, and Thematic Roles","Maling, Joan",article,,,,,"Maling, Joan. 2001. Dative: The Heterogeneity of the Mapping Among Morphological Case, Grammatical Functions, and Thematic Roles. Lingua, 111: 419-464.",,Lingua,ch01maling2001,419-464,,382,,,111,2001,
Definiteness and Animacy Constraints on Passive and Double-Object Constructions in English,"Ransom, Evelyn N.",,,,,,"Ransom, Evelyn N. 1979. Definiteness and Animacy Constraints on Passive and Double-Object Constructions in English. Glossa, 13: 215-240.",2,Glossa,,215-240,,383,,,13,1979,
On the Nature of the ‘Dative’ Particle ni in Japanese,"Sadakane, Kumi & Masatoshi Koizumi",,,,,,"Sadakane, Kumi & Masatoshi Koizumi. 1995. On the Nature of the ‘Dative’ Particle ni in Japanese. in: Linguistics, 33: 5-33.",,Linguistics,,5-33,,384,,,33,1995,
,"Mawkanuli, Talant",,,,,,"Talant Mawkanuli, p.c.",,,,,,385,,,,,
,"Dedrick, John M. & Eugene H. Casad",,Sonora Yaqui language structures,,Tucson,,"Dedrick, John M. & Eugene H. Casad. 1999. Sonora Yaqui language structures. Tucson, Arizona: University of Arizona Press.",,,,,University of Arizona Press,386,,,,1999,
,"Poulos, George",,,,,,,,,,,,387,,,,1982,
,"Iwasaki, Shoichi",book,Japanese,,Amsterdam,,,,,,,John Benjamins,388,,,,2002,
,"Vitale, Anthony J.",book,Swahili Syntax,,Dordrecht,,"Vitale, Anthony J. 1981. Swahili Syntax. Dordrecht: Foris.",,,ch001vitale1981,,Foris,389,,,,1981,
,"Carlson, Robert",,A Grammar of Supyire,,Berlin,,"Carlson, Robert. 1994. Grammar of Supyire. Berlin. Mouton de Gruyter.",,,,,Mouton de Gruyter,390,,,,1994,
,"Bhatia, Tej K.",,Punjabi. A Cognitive-Descriptive Grammar,,London,,"Bhatia, Tej K. 1993. Punjabi. A Cognitive-Descriptive Grammar. London: Routledge.",,,,,Routledge,391,,,,1993,
,"Lacroix, René",,,,,,René Lacroix 2007. Handout of a talk presented at the ditransitive conference,,,,,,393,,,,2007,
,"Estrada, Zarina",,,,,,,,,,,,394,,,,,
,"Guerrero, Lilián",,The structure and function on Yaqui complementation,,Munich,,"Guerrero, Lilián. 2006. The structure and function on Yaqui complementation. LINCOM Studies in Native American Linguistics, 54. Munich: LINCOM.",,,,,LINCOM,395,,,,2006,
,"Escalante, Fernando",phdthesis,Voice and argument structure in Yaqui,,Ann Arbor,,"Escalante, Fernando. 1990. Voice and argument structure in Yaqui. Ann Arbor. UMI.",,,ch001escalante1990,,UMI,396,,,,1990,
,"Camargo, p.c.",,,,,,,,,,,,397,,,,2007,
,"Zavala Maldonaldo, Roberto",,Inversion and other topics in the grammar of Olutec (Mixean),,Ann Arbor,,"Zavala Maldonaldo, Roberto. 2002. Inversion and other topics in the grammar of Olutec (Mixean). Ann Arbor. UMI.",,,,,UMI,398,University of Oregon,,,2002,
,"Lacroix, René",,,,,,"René Lacroix, p. c.",,,,,,399,,,,,
,"Kutscher, Silvia",,Nomen und nominales Sytagma im Lasischen - eine deskriptive Analyse des Dialekts von Ardesen,,München,,"Kutscher, Silvia. 2001. Nomen und nominales Sytagma im Lasischen - eine deskriptive Analyse des Dialekts von Ardesen. München: Lincom Europa.",,,,,Lincom Europa,400,,,,2001,
,Anderson,,,,,,Anderson 1963,,,,,,401,,,,1963,
personal communication,"Atoyebi, Joseph",,,,,,,,,,,,402,,,,2009,
,"Noonan, Michael",,A Grammar of Lango,,Berlin,,"Noonan, Michael. 1992. A Grammar of Lango. Berlin. Mouton de Gruyter.",,,,,Mouton de Gruyter,403,,,,1992,
Ditransitive Constructions in Vafsi: a corpus-based study,"Stilo, Donald L.",incollection,Studies in Ditransitive Constructions,8,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,243 - 276,Mouton de Gruyter,404,,,,2010,
GIVE in Amele,"Roberts, John R.",incollection,The Linguistics of Giving,,Amsterdam,"Newman, John","Roberts, John R. 1998. GIVE in Amele. in: Newman, John (ed.). The Linguistics of Giving. Amsterdam. John Benjamins.",,,ch01roberts1998,,John Benjamins,405,,,,1998,
,"Hewitt, Brian George",,Abkhaz,,London,,"Hewitt, Brian George. 1989. Abkhaz. London. Routledge.",,,,,Routledge,406,,,,1989,
,"Derbyshire, Desmond C.",,Hixkaryana,,Amsterdam,,"Derbyshire, Desmond C. 1979. Hixkaryana. Amsterdam. North Holland.",,,,,North Holland,407,,,,1979,
,"Chirikba, Viacheslav A.",,Abkhaz,,Munich,,"Chirikba, Viacheslav A. 2003. Abkhaz. München. Lincom Europa.",,,,,Lincom Europa,408,,,,2003,
,"Terrill, Angela",book,A Grammar of Lavukaleve,,Berlin,,,,,,,Mouton de Gruyter,409,,,,2003,
,"Dench, Alan Charles",book,"Martuthunira, a language of the Pilbara Region of Western Australia",,Canberra,,"Dench, Alan Charles. 1995. Martuthunira, a language of the Pilbara Region of Western Australia. Canberra: Australian National University.",,,,,Australian National University,411,,,,1995,
,"Heath, Jeffrey",book,"A Grammar of Koyraboro (Koroboro) Senni, the Songhay of Gao, Mali",,Köln,,"Heath, Jeffrey. 1999. A Grammar of Koyraboro (Koroboro) Senni, the Songhay of Gao, Mali. Köln: Rüdiger Köppe.",,,,,Rüdiger Köppe,414,,,,1999,
,"Williamson, Janis Shirley",book,Studies in Lakhota grammar,,Ann Arbor,,,,,,,UMI,419,"University of California, San Diego",,,2003,
,"Tamura, Suzuko",book,The Ainu Language,,Tokyo,,,,,,,Sanseido,422,,,,2000,
,"Refsing, Kirsten",book,The Ainu Language. The Morphology and Syntax of the Shizunai Dialect,,Aarhus,,"Refsing, Kirsten. 1986. The Ainu Language. The morphology and syntax of the Shizunai dialect. Aarhus: Aarhus University Press.",,,,,Aarhus University Press,423,,,,1986,
Reciprocals and sociatives in Ainu,"Alpatov, Vladimir M. & Anna J. Bugaeva & Vladimir P. Nedjalkov",incollection,Reciprocal Constructions,,Amsterdam,"Nedjalkov, Vladimir P.",,,,,1751-1822,John Benjamins,425,,,4,2007,
,"Bruening, Benjamin",book,Syntax at the edge. Cross-clausal phenomena and the syntax of Passamaquoddy,,Cambridge,,,,,,,MIT Press,426,,,,2001,
