Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Projecting indirect objects,"Emonds, Joseph E.",article,,,,,,3,The Linguistic Review,,211-263,,30,,,10,1993,
Iconicity and 'Indirect Objects' in English,"Thompson, Sandra A. & Yuka Koide",article,,,,,,3,Journal of Pragmatics,,399-406,,31,,,11,1987,
,"Marlett, Stephen A.",book,Goals and Indirect Objects in Seri,,,,,,,,,University of North Dakota,32,,,,1993,
Indirect objects in SiSwati,"de Guzman, Videa P.",article,,,,,,3,Studies in African Linguistics,,309-325,,33,,,18,1987,
Facts count: An empiricist looks at the Hausa indirect objects,"Newman, Paul",inproceedings,"Proceedings of the Annual Meeting, n°17, Special session on African language structures",,Berkeley,"Hubbard, Kathleen",,,,,155-165,Berkeley Linguistics Society,34,,,,1991,
The syntax of clitic cross-referencing pronouns in Kugu Nganhcara,"Smith, Ian & Steve Johnson",article,,,,,,1,Anthropological Linguistics,,102-111,,35,,,27,1985,
Emai double-object constructions,"Schaefer, Ronald P. & Francis O. Egbokhare",article,,,,,,,Afrika und Übersee,ch001schaeferegbokhare2003,99-131,,36,,,86,2003,
La diathèse trivalente: une structure instable,"Arcaini, Enrico & Pia Galetto",article,,,,,,2,Studi Italiani di Linguistica Teorica e Applicata,,407-442,,37,,,26,1997,
Ditransitive Verben und ihre Objekte im Wolof,"Becher, Jutta",article,,,,,,,Hamburger Afrikanistische Arbeitspapiere,,13-28,,38,,,3,2005,
Signaling Focus in Spanish and French Double Object Constructions,"Gabriel, Christoph",incollection,Nouveaux départs en phonologie: Les conceptions sub- et suprasegmentales,,Tübingen,"Meisenburg, Trudel & Maria Selig",,,,,183-198,Narr,39,,,,2004,b
Object relations and dative case in Dolakha Newari,"Genetti, Carol",article,,,,,,1,Studies in Language,,37-68,,40,,,21,1997,
"Grammatical relations, information structure and constituency in Watarn","Foley, William A.",article,,,,,,1,Ocean Linguistics,,115-138,,41,,,38,1999,
Paradigm Trimming in Basque,"Addis, Kristin",article,,,,,,,Linguistics,,431-474,,42,,,31,1993,
Syntax and Syncretisms of the Person Case Constraint,"Adger, David & Daniel Harbour",article,,,,,,1,Syntax,,2-37,,43,,,10,2007,
Markedness and Subject Choice in Optimality Theory,"Aissen, Judith L.",article,,,,,,,Natural Language and Linguistic Theory,,673-711,,44,,,17,1999,
Differential object marking: Iconicity vs. economy,"Aissen, Judith L.",article,,,,,,3,Natural Language and Linguistic Theory,,435-483,,45,,,21,2003,
,"Baptista, Marlyse",book,The syntax of Capeverdean Creole: The Sotavento varieties,,Amsterdam,,,,,,,John Benjamins,46,,,,2002,
The Person-Case costraint: A morphological approach,"Bonet, Eulalia",incollection,The morphology-syntax connection,,,"Harley, Heidi & Colin Phillips",,,,,33-52,,47,,,,1994,
Le marquage différentiel de l'objet dans les langues d'Europe,"Bossong, Georg",incollection,Actance et valence dans les langues de l'Europe,,Berlin,"Feuillet, Jack",,,,,193-258,Mouton de Gruyter,48,,,,1998,
,"Comrie, Bernard",book,Language Universals and Linguistic Typology,,Oxford,,,,,ch001comrie1989,,Blackwell,49,,,,1981,
